Hotel Name,Review,food,service,location,cleanliness
Prominent Corporate Residency,"Apartments are spacious, staff is very friendly and helpful and speaks good English. Located in a living quarter, so not much traffic. Good choice of Indian food, paper straws, not much plastic used",0,0,0,0
Prominent Corporate Residency,Excellent food quality & taste,0,0,0,0
Prominent Corporate Residency,It is was close to our location we needed to go. Facility is very good & clean. They have Good Vegetarian restaurant. People in the restaurant are very friendly and help full. Food is good and tasty. Tasted the real vegetarian. room is like a suite. had a good pantry and good living space with a sofa in front of the TV.,0,0,0,0
Prominent Corporate Residency,awesome room size. very very comfortable,0,0,0,0
Prominent Corporate Residency,"Breakfast could have been improved. However, was satisfactory and matches most of Expectations",0,0,0,0
"Siara Styles Amba Suites, Gandhinagar",The room was spacious and well designed. The location was also appropriate.,0,0,0,0
"Siara Styles Amba Suites, Gandhinagar",Breakfast was okay...could've added some more fresh fruits,0,0,0,0
"Siara Styles Amba Suites, Gandhinagar",Â· Excellent facility for the cost...,0,0,0,0
Diwa Club by Alila - A Hyatt Brand,The warmth and hospitality of the staff was excellent. The spice restaurant was awesome. The separation from the main hotel was well thought out. The spa was excellent. All in all a very memorable experience marked as ' we will be back',0,0,0,0
Diwa Club by Alila - A Hyatt Brand,"The room we stayed in was very well maintained, spacious and the staff was very courteous. The all day bistro has the best food among their other restruants",0,0,0,0
Diwa Club by Alila - A Hyatt Brand,The service and the courtesy of the staff. Superb food too.,0,0,0,0
MamaGoa Resort,"Loved the cleanliness, the sea view bungalow right on the beach. Lovely setting and staff. Comfortable room. Location is great, clean and peaceful beach",0,0,0,0
MamaGoa Resort,"Location more than best, it's on beach Room are clean and comfortable At breakfast all is fresh Staff helpfull",0,0,0,0
MamaGoa Resort,Highly priced and food,0,0,0,0